RESOURCE;FIELD;SCHEMA;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
notice;status;api;;R;R;R;R;R;R;R;R;;;;
notice;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
notice;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
substation_cluster;;grid;;;;;;;;;;;;;
substation_cluster;id;grid;;;;;R;;R;;;;;;
substation_cluster;name;grid;;;;;R;;R;;;;;;
substation_cluster;business_id;grid;;;;;R;;R;;;;;;
substation_cluster;business_id_type;grid;;;;;R;;R;;;;;;
substation_cluster;averaged_position;grid;;;;;R;;R;;;;;;
substation_cluster;area;grid;;;;;R;;R;;;;;;
substation_cluster;status;grid;;;;;R;;R;;;;;;
substation_cluster;recorded_at;grid;;;;;R;;R;;;;;;
substation_cluster;recorded_by;grid;;;;;R;;R;;;;;;
substation;;grid;;;;;;;;;;;;;
substation;id;grid;;;;;R;;R;;;;;;
substation;name;grid;;;;;R;;R;;;;;;
substation;business_id;grid;;;;;R;;R;;;;;;
substation;business_id_type;grid;;;;;R;;R;;;;;;
substation;kind;grid;;;;;R;;R;;;;;;
substation;primary_concessionaire;grid;;;;;R;;R;;;;;;
substation;substation_cluster_id;grid;;;;;R;;R;;;;;;
substation;voltage_levels;grid;;;;;R;;R;;;;;;
substation;position;grid;;;;;R;;R;;;;;;
substation;status;grid;;;;;R;;R;;;;;;
substation;recorded_at;grid;;;;;R;;R;;;;;;
substation;recorded_by;grid;;;;;R;;R;;;;;;
line;;grid;;;;;;;;;;;;;
line;id;grid;;;;;R;;R;;;;;;
line;name;grid;;;;;R;;R;;;;;;
line;business_id;grid;;;;;R;;R;;;;;;
line;business_id_type;grid;;;;;R;;R;;;;;;
line;from_substation_cluster_id;grid;;;;;R;;R;;;;;;
line;to_substation_cluster_id;grid;;;;;R;;R;;;;;;
line;line;grid;;;;;R;;R;;;;;;
line;status;grid;;;;;R;;R;;;;;;
line;recorded_at;grid;;;;;R;;R;;;;;;
line;recorded_by;grid;;;;;R;;R;;;;;;
